storm_id,storm_name,datetime,year,month,day,hour,minute,record_id,status,latitude,longitude,wind_kt,pressure_mb
AL022004,BONNIE,2004-08-09 00:00:00,2004,8,9,0,0,,TD,21.5,-85.5,25,1008
AL022004,BONNIE,2004-08-09 06:00:00,2004,8,9,6,0,,TD,22.0,-86.6,30,1008
AL022004,BONNIE,2004-08-09 12:00:00,2004,8,9,12,0,,TS,22.5,-87.6,35,1008
AL022004,BONNIE,2004-08-09 18:00:00,2004,8,9,18,0,,TS,22.9,-88.3,40,1007
AL022004,BONNIE,2004-08-10 00:00:00,2004,8,10,0,0,,TS,23.1,-89.0,45,1006
AL022004,BONNIE,2004-08-10 06:00:00,2004,8,10,6,0,,TS,23.4,-89.8,45,1005
AL022004,BONNIE,2004-08-10 12:00:00,2004,8,10,12,0,,TS,24.0,-90.6,50,1002
AL022004,BONNIE,2004-08-10 18:00:00,2004,8,10,18,0,,TS,24.4,-90.6,45,1003
AL022004,BONNIE,2004-08-11 00:00:00,2004,8,11,0,0,,TS,24.7,-90.6,40,1003
AL022004,BONNIE,2004-08-11 06:00:00,2004,8,11,6,0,,TS,25.2,-90.6,40,1003
AL022004,BONNIE,2004-08-11 12:00:00,2004,8,11,12,0,,TS,25.7,-90.4,45,1001
AL022004,BONNIE,2004-08-11 18:00:00,2004,8,11,18,0,,TS,26.4,-89.6,55,1001
AL022004,BONNIE,2004-08-12 00:00:00,2004,8,12,0,0,,TS,27.0,-88.8,50,1007
AL022004,BONNIE,2004-08-12 06:00:00,2004,8,12,6,0,,TS,27.7,-88.1,45,1008
AL022004,BONNIE,2004-08-12 12:00:00,2004,8,12,12,0,,TS,29.0,-86.1,45,1002
AL022004,BONNIE,2004-08-12 14:00:00,2004,8,12,14,0,L,TS,29.6,-85.1,40,1002
AL022004,BONNIE,2004-08-12 18:00:00,2004,8,12,18,0,,TD,30.2,-84.0,30,1006
AL022004,BONNIE,2004-08-13 00:00:00,2004,8,13,0,0,,TD,31.9,-81.3,25,1008
AL022004,BONNIE,2004-08-13 06:00:00,2004,8,13,6,0,,TD,33.5,-79.0,25,1008
AL022004,BONNIE,2004-08-13 12:00:00,2004,8,13,12,0,,TD,35.5,-76.5,25,1008
AL022004,BONNIE,2004-08-13 18:00:00,2004,8,13,18,0,,TD,37.1,-74.9,25,1008
AL022004,BONNIE,2004-08-14 00:00:00,2004,8,14,0,0,,LO,39.0,-73.5,20,1012
AL032004,CHARLEY,2004-08-09 12:00:00,2004,8,9,12,0,,TD,11.4,-59.2,30,1010
AL032004,CHARLEY,2004-08-09 18:00:00,2004,8,9,18,0,,TD,11.7,-61.1,30,1009
AL032004,CHARLEY,2004-08-10 00:00:00,2004,8,10,0,0,,TD,12.2,-63.2,30,1009
AL032004,CHARLEY,2004-08-10 06:00:00,2004,8,10,6,0,,TS,12.9,-65.3,35,1007
AL032004,CHARLEY,2004-08-10 12:00:00,2004,8,10,12,0,,TS,13.8,-67.6,40,1004
AL032004,CHARLEY,2004-08-10 18:00:00,2004,8,10,18,0,,TS,14.9,-69.8,45,1000
AL032004,CHARLEY,2004-08-11 00:00:00,2004,8,11,0,0,,TS,15.6,-71.8,55,999
AL032004,CHARLEY,2004-08-11 06:00:00,2004,8,11,6,0,,TS,16.0,-73.7,55,999
AL032004,CHARLEY,2004-08-11 12:00:00,2004,8,11,12,0,,TS,16.3,-75.4,60,995
AL032004,CHARLEY,2004-08-11 18:00:00,2004,8,11,18,0,,HU,16.7,-76.8,65,993
AL032004,CHARLEY,2004-08-12 00:00:00,2004,8,12,0,0,,HU,17.4,-78.1,65,992
AL032004,CHARLEY,2004-08-12 06:00:00,2004,8,12,6,0,,HU,18.2,-79.3,75,988
AL032004,CHARLEY,2004-08-12 12:00:00,2004,8,12,12,0,,HU,19.2,-80.7,80,984
AL032004,CHARLEY,2004-08-12 18:00:00,2004,8,12,18,0,,HU,20.5,-81.6,90,980
AL032004,CHARLEY,2004-08-13 00:00:00,2004,8,13,0,0,,HU,21.7,-82.2,90,976
AL032004,CHARLEY,2004-08-13 04:30:00,2004,8,13,4,30,L,HU,22.7,-82.6,105,966
AL032004,CHARLEY,2004-08-13 06:00:00,2004,8,13,6,0,,HU,23.0,-82.6,105,966
AL032004,CHARLEY,2004-08-13 12:00:00,2004,8,13,12,0,,HU,24.4,-82.9,95,969
AL032004,CHARLEY,2004-08-13 18:00:00,2004,8,13,18,0,,HU,26.1,-82.4,125,947
AL032004,CHARLEY,2004-08-13 19:45:00,2004,8,13,19,45,L,HU,26.6,-82.2,130,941
AL032004,CHARLEY,2004-08-13 20:45:00,2004,8,13,20,45,L,HU,26.9,-82.1,125,942
AL032004,CHARLEY,2004-08-14 00:00:00,2004,8,14,0,0,,HU,28.1,-81.6,75,970
AL032004,CHARLEY,2004-08-14 06:00:00,2004,8,14,6,0,,HU,30.1,-80.8,75,993
AL032004,CHARLEY,2004-08-14 12:00:00,2004,8,14,12,0,,HU,32.3,-79.7,65,988
AL032004,CHARLEY,2004-08-14 14:00:00,2004,8,14,14,0,L,HU,33.0,-79.4,70,992
AL032004,CHARLEY,2004-08-14 16:00:00,2004,8,14,16,0,L,HU,33.8,-78.7,65,997
AL032004,CHARLEY,2004-08-14 18:00:00,2004,8,14,18,0,,TS,34.5,-78.1,60,1000
AL032004,CHARLEY,2004-08-15 00:00:00,2004,8,15,0,0,,EX,36.9,-75.9,40,1012
AL032004,CHARLEY,2004-08-15 06:00:00,2004,8,15,6,0,,EX,39.3,-73.8,35,1014
AL032004,CHARLEY,2004-08-15 12:00:00,2004,8,15,12,0,,EX,41.2,-71.1,30,1018
AL042004,DANIELLE,2004-08-13 12:00:00,2004,8,13,12,0,,TD,12.3,-21.8,30,1009
AL042004,DANIELLE,2004-08-13 18:00:00,2004,8,13,18,0,,TD,12.4,-23.0,30,1009
AL042004,DANIELLE,2004-08-14 00:00:00,2004,8,14,0,0,,TS,12.6,-24.2,35,1009
AL042004,DANIELLE,2004-08-14 06:00:00,2004,8,14,6,0,,TS,12.9,-25.5,40,1004
AL042004,DANIELLE,2004-08-14 12:00:00,2004,8,14,12,0,,TS,13.2,-26.8,45,1004
AL042004,DANIELLE,2004-08-14 18:00:00,2004,8,14,18,0,,TS,13.5,-28.1,55,994
AL042004,DANIELLE,2004-08-15 00:00:00,2004,8,15,0,0,,HU,13.8,-29.3,65,987
AL042004,DANIELLE,2004-08-15 06:00:00,2004,8,15,6,0,,HU,14.1,-30.8,75,981
AL042004,DANIELLE,2004-08-15 12:00:00,2004,8,15,12,0,,HU,14.7,-32.1,80,978
AL042004,DANIELLE,2004-08-15 18:00:00,2004,8,15,18,0,,HU,15.2,-33.5,85,975
AL042004,DANIELLE,2004-08-16 00:00:00,2004,8,16,0,0,,HU,16.0,-34.8,90,970
AL042004,DANIELLE,2004-08-16 06:00:00,2004,8,16,6,0,,HU,16.8,-36.0,90,970
AL042004,DANIELLE,2004-08-16 12:00:00,2004,8,16,12,0,,HU,17.7,-37.2,90,970
AL042004,DANIELLE,2004-08-16 18:00:00,2004,8,16,18,0,,HU,19.0,-38.2,95,964
AL042004,DANIELLE,2004-08-17 00:00:00,2004,8,17,0,0,,HU,20.3,-38.9,95,965
AL042004,DANIELLE,2004-08-17 06:00:00,2004,8,17,6,0,,HU,21.7,-39.6,90,970
AL042004,DANIELLE,2004-08-17 12:00:00,2004,8,17,12,0,,HU,23.3,-40.0,90,970
AL042004,DANIELLE,2004-08-17 18:00:00,2004,8,17,18,0,,HU,24.6,-40.3,85,974
AL042004,DANIELLE,2004-08-18 00:00:00,2004,8,18,0,0,,HU,25.9,-40.6,75,981
AL042004,DANIELLE,2004-08-18 06:00:00,2004,8,18,6,0,,HU,27.3,-40.3,65,985
AL042004,DANIELLE,2004-08-18 12:00:00,2004,8,18,12,0,,TS,28.1,-39.8,55,994
AL042004,DANIELLE,2004-08-18 18:00:00,2004,8,18,18,0,,TS,28.9,-38.9,45,1005
AL042004,DANIELLE,2004-08-19 00:00:00,2004,8,19,0,0,,TS,29.3,-37.8,40,1007
AL042004,DANIELLE,2004-08-19 06:00:00,2004,8,19,6,0,,TS,29.7,-37.7,40,1007
AL042004,DANIELLE,2004-08-19 12:00:00,2004,8,19,12,0,,TS,29.9,-37.7,35,1007
AL042004,DANIELLE,2004-08-19 18:00:00,2004,8,19,18,0,,TS,29.9,-37.2,35,1007
AL042004,DANIELLE,2004-08-20 00:00:00,2004,8,20,0,0,,TS,29.8,-36.8,35,1009
AL042004,DANIELLE,2004-08-20 06:00:00,2004,8,20,6,0,,TS,30.2,-37.0,35,1010
AL042004,DANIELLE,2004-08-20 12:00:00,2004,8,20,12,0,,TS,30.5,-37.2,35,1011
AL042004,DANIELLE,2004-08-20 18:00:00,2004,8,20,18,0,,TD,30.9,-37.6,30,1012
AL042004,DANIELLE,2004-08-21 00:00:00,2004,8,21,0,0,,TD,30.9,-38.0,30,1012
AL042004,DANIELLE,2004-08-21 06:00:00,2004,8,21,6,0,,TD,30.6,-38.6,30,1013
AL042004,DANIELLE,2004-08-21 12:00:00,2004,8,21,12,0,,TD,30.7,-38.9,25,1014
AL042004,DANIELLE,2004-08-21 18:00:00,2004,8,21,18,0,,LO,30.5,-39.2,25,1014
AL042004,DANIELLE,2004-08-22 00:00:00,2004,8,22,0,0,,LO,30.3,-39.8,25,1015
AL042004,DANIELLE,2004-08-22 06:00:00,2004,8,22,6,0,,LO,30.2,-40.3,25,1015
AL042004,DANIELLE,2004-08-22 12:00:00,2004,8,22,12,0,,LO,30.3,-40.8,25,1015
AL042004,DANIELLE,2004-08-22 18:00:00,2004,8,22,18,0,,LO,30.4,-41.2,25,1016
AL042004,DANIELLE,2004-08-23 00:00:00,2004,8,23,0,0,,LO,30.8,-42.0,25,1016
AL042004,DANIELLE,2004-08-23 06:00:00,2004,8,23,6,0,,LO,31.7,-42.5,25,1017
AL042004,DANIELLE,2004-08-23 12:00:00,2004,8,23,12,0,,LO,32.3,-43.3,25,1017
AL042004,DANIELLE,2004-08-23 18:00:00,2004,8,23,18,0,,LO,33.1,-43.8,25,1017
AL042004,DANIELLE,2004-08-24 00:00:00,2004,8,24,0,0,,LO,33.9,-44.2,20,1018
AL042004,DANIELLE,2004-08-24 06:00:00,2004,8,24,6,0,,LO,34.7,-44.6,20,1018
AL042004,DANIELLE,2004-08-24 12:00:00,2004,8,24,12,0,,LO,35.5,-45.0,20,1019
AL042004,DANIELLE,2004-08-24 18:00:00,2004,8,24,18,0,,LO,36.4,-45.2,20,1019
AL052004,EARL,2004-08-13 18:00:00,2004,8,13,18,0,,TD,9.0,-45.6,30,1011
AL052004,EARL,2004-08-14 00:00:00,2004,8,14,0,0,,TD,9.2,-47.4,30,1011
AL052004,EARL,2004-08-14 06:00:00,2004,8,14,6,0,,TD,9.6,-49.2,30,1011
AL052004,EARL,2004-08-14 12:00:00,2004,8,14,12,0,,TD,10.1,-51.4,30,1011
AL052004,EARL,2004-08-14 18:00:00,2004,8,14,18,0,,TS,10.5,-53.5,35,1010
AL052004,EARL,2004-08-15 00:00:00,2004,8,15,0,0,,TS,11.0,-55.9,35,1010
AL052004,EARL,2004-08-15 06:00:00,2004,8,15,6,0,,TS,11.5,-58.3,45,1009
AL052004,EARL,2004-08-15 12:00:00,2004,8,15,12,0,,TS,11.8,-60.8,45,1009
AL052004,EARL,2004-08-15 18:00:00,2004,8,15,18,0,,TS,12.1,-62.8,35,1010
AL062004,FRANCES,2004-08-25 00:00:00,2004,8,25,0,0,,TD,11.1,-35.2,25,1009
AL062004,FRANCES,2004-08-25 06:00:00,2004,8,25,6,0,,TD,11.2,-36.8,30,1008
AL062004,FRANCES,2004-08-25 12:00:00,2004,8,25,12,0,,TD,11.3,-38.3,30,1007
AL062004,FRANCES,2004-08-25 18:00:00,2004,8,25,18,0,,TS,11.5,-39.8,35,1005
AL062004,FRANCES,2004-08-26 00:00:00,2004,8,26,0,0,,TS,11.9,-41.5,40,1003
AL062004,FRANCES,2004-08-26 06:00:00,2004,8,26,6,0,,TS,12.3,-42.9,45,1000
AL062004,FRANCES,2004-08-26 12:00:00,2004,8,26,12,0,,TS,12.8,-44.5,55,994
AL062004,FRANCES,2004-08-26 18:00:00,2004,8,26,18,0,,HU,13.3,-45.8,65,987
AL062004,FRANCES,2004-08-27 00:00:00,2004,8,27,0,0,,HU,13.7,-46.8,70,984
AL062004,FRANCES,2004-08-27 06:00:00,2004,8,27,6,0,,HU,14.2,-47.8,75,980
AL062004,FRANCES,2004-08-27 12:00:00,2004,8,27,12,0,,HU,14.7,-48.5,90,970
AL062004,FRANCES,2004-08-27 18:00:00,2004,8,27,18,0,,HU,15.4,-49.3,100,962
AL062004,FRANCES,2004-08-28 00:00:00,2004,8,28,0,0,,HU,15.9,-50.0,100,962
AL062004,FRANCES,2004-08-28 06:00:00,2004,8,28,6,0,,HU,16.6,-50.9,100,962
AL062004,FRANCES,2004-08-28 12:00:00,2004,8,28,12,0,,HU,17.2,-51.6,105,958
AL062004,FRANCES,2004-08-28 18:00:00,2004,8,28,18,0,,HU,17.7,-52.3,115,948
AL062004,FRANCES,2004-08-29 00:00:00,2004,8,29,0,0,,HU,18.1,-52.9,115,948
AL062004,FRANCES,2004-08-29 06:00:00,2004,8,29,6,0,,HU,18.4,-53.6,115,948
AL062004,FRANCES,2004-08-29 12:00:00,2004,8,29,12,0,,HU,18.6,-54.4,115,948
AL062004,FRANCES,2004-08-29 18:00:00,2004,8,29,18,0,,HU,18.8,-55.0,110,948
AL062004,FRANCES,2004-08-30 00:00:00,2004,8,30,0,0,,HU,18.9,-55.8,105,954
AL062004,FRANCES,2004-08-30 06:00:00,2004,8,30,6,0,,HU,19.0,-56.8,100,958
AL062004,FRANCES,2004-08-30 12:00:00,2004,8,30,12,0,,HU,19.2,-58.1,100,956
AL062004,FRANCES,2004-08-30 18:00:00,2004,8,30,18,0,,HU,19.4,-59.3,110,948
AL062004,FRANCES,2004-08-31 00:00:00,2004,8,31,0,0,,HU,19.6,-60.7,110,946
AL062004,FRANCES,2004-08-31 06:00:00,2004,8,31,6,0,,HU,19.8,-62.1,115,950
AL062004,FRANCES,2004-08-31 12:00:00,2004,8,31,12,0,,HU,20.0,-63.5,120,949
AL062004,FRANCES,2004-08-31 18:00:00,2004,8,31,18,0,,HU,20.3,-65.0,125,942
AL062004,FRANCES,2004-09-01 00:00:00,2004,9,1,0,0,,HU,20.6,-66.4,120,941
AL062004,FRANCES,2004-09-01 06:00:00,2004,9,1,6,0,,HU,21.0,-67.9,120,939
AL062004,FRANCES,2004-09-01 07:00:00,2004,9,1,7,0,P,HU,21.1,-68.1,120,935
AL062004,FRANCES,2004-09-01 12:00:00,2004,9,1,12,0,,HU,21.4,-69.1,120,937
AL062004,FRANCES,2004-09-01 18:00:00,2004,9,1,18,0,,HU,21.8,-70.4,120,941
AL062004,FRANCES,2004-09-02 00:00:00,2004,9,2,0,0,,HU,22.2,-71.4,120,939
AL062004,FRANCES,2004-09-02 06:00:00,2004,9,2,6,0,,HU,22.7,-72.5,125,937
AL062004,FRANCES,2004-09-02 07:30:00,2004,9,2,7,30,W,HU,22.8,-72.8,125,936
AL062004,FRANCES,2004-09-02 12:00:00,2004,9,2,12,0,,HU,23.2,-73.5,120,939
AL062004,FRANCES,2004-09-02 18:00:00,2004,9,2,18,0,,HU,23.8,-74.3,115,948
AL062004,FRANCES,2004-09-02 19:30:00,2004,9,2,19,30,L,HU,24.0,-74.5,110,948
AL062004,FRANCES,2004-09-03 00:00:00,2004,9,3,0,0,,HU,24.2,-75.0,105,948
AL062004,FRANCES,2004-09-03 05:30:00,2004,9,3,5,30,L,HU,24.6,-75.6,100,954
AL062004,FRANCES,2004-09-03 06:00:00,2004,9,3,6,0,,HU,24.7,-75.7,100,954
AL062004,FRANCES,2004-09-03 10:00:00,2004,9,3,10,0,L,HU,25.1,-76.1,95,956
AL062004,FRANCES,2004-09-03 12:00:00,2004,9,3,12,0,,HU,25.3,-76.3,95,958
AL062004,FRANCES,2004-09-03 18:00:00,2004,9,3,18,0,,HU,25.7,-77.1,90,960
AL062004,FRANCES,2004-09-04 00:00:00,2004,9,4,0,0,,HU,26.0,-77.5,85,960
AL062004,FRANCES,2004-09-04 06:00:00,2004,9,4,6,0,,HU,26.4,-77.9,85,960
AL062004,FRANCES,2004-09-04 10:00:00,2004,9,4,10,0,L,HU,26.6,-78.2,90,961
AL062004,FRANCES,2004-09-04 12:00:00,2004,9,4,12,0,,HU,26.8,-78.5,90,962
AL062004,FRANCES,2004-09-04 18:00:00,2004,9,4,18,0,,HU,26.8,-79.1,90,962
AL062004,FRANCES,2004-09-05 00:00:00,2004,9,5,0,0,,HU,27.0,-79.4,95,958
AL062004,FRANCES,2004-09-05 04:30:00,2004,9,5,4,30,L,HU,27.2,-80.2,90,960
AL062004,FRANCES,2004-09-05 06:00:00,2004,9,5,6,0,,HU,27.2,-80.2,90,960
AL062004,FRANCES,2004-09-05 12:00:00,2004,9,5,12,0,,HU,27.4,-80.7,80,969
AL062004,FRANCES,2004-09-05 18:00:00,2004,9,5,18,0,,TS,27.8,-81.7,60,975
AL062004,FRANCES,2004-09-06 00:00:00,2004,9,6,0,0,,TS,28.1,-82.3,55,978
AL062004,FRANCES,2004-09-06 06:00:00,2004,9,6,6,0,,TS,28.6,-83.3,55,981
AL062004,FRANCES,2004-09-06 12:00:00,2004,9,6,12,0,,TS,29.2,-83.7,55,982
AL062004,FRANCES,2004-09-06 18:00:00,2004,9,6,18,0,L,TS,30.1,-84.0,50,982
AL062004,FRANCES,2004-09-07 00:00:00,2004,9,7,0,0,,TS,31.0,-84.6,35,984
AL062004,FRANCES,2004-09-07 06:00:00,2004,9,7,6,0,,TD,31.5,-85.0,30,988
AL062004,FRANCES,2004-09-07 12:00:00,2004,9,7,12,0,,TD,32.0,-85.2,25,992
AL062004,FRANCES,2004-09-07 18:00:00,2004,9,7,18,0,,TD,32.5,-85.1,25,996
AL062004,FRANCES,2004-09-08 00:00:00,2004,9,8,0,0,,TD,33.4,-84.7,25,998
AL062004,FRANCES,2004-09-08 06:00:00,2004,9,8,6,0,,TD,34.3,-84.3,25,1000
AL062004,FRANCES,2004-09-08 12:00:00,2004,9,8,12,0,,TD,36.1,-83.2,25,1001
AL062004,FRANCES,2004-09-08 18:00:00,2004,9,8,18,0,,TD,37.8,-82.1,25,1002
AL062004,FRANCES,2004-09-09 00:00:00,2004,9,9,0,0,,EX,38.7,-81.3,25,1001
AL062004,FRANCES,2004-09-09 06:00:00,2004,9,9,6,0,,EX,40.5,-80.0,30,1001
AL062004,FRANCES,2004-09-09 12:00:00,2004,9,9,12,0,,EX,42.8,-77.7,35,1001
AL062004,FRANCES,2004-09-09 18:00:00,2004,9,9,18,0,,EX,44.3,-75.7,30,1002
AL062004,FRANCES,2004-09-10 00:00:00,2004,9,10,0,0,,EX,45.3,-73.3,25,1003
AL062004,FRANCES,2004-09-10 06:00:00,2004,9,10,6,0,,EX,46.2,-70.5,20,1004
AL062004,FRANCES,2004-09-10 12:00:00,2004,9,10,12,0,,EX,46.6,-67.3,20,1005
AL062004,FRANCES,2004-09-10 18:00:00,2004,9,10,18,0,,EX,47.2,-64.2,20,1005
AL072004,GASTON,2004-08-27 12:00:00,2004,8,27,12,0,,TD,31.8,-78.1,25,1015
AL072004,GASTON,2004-08-27 18:00:00,2004,8,27,18,0,,TD,31.6,-78.0,25,1014
AL072004,GASTON,2004-08-28 00:00:00,2004,8,28,0,0,,TD,31.4,-78.0,30,1011
AL072004,GASTON,2004-08-28 06:00:00,2004,8,28,6,0,,TS,31.3,-78.2,35,1005
AL072004,GASTON,2004-08-28 12:00:00,2004,8,28,12,0,,TS,31.3,-78.5,45,1000
AL072004,GASTON,2004-08-28 18:00:00,2004,8,28,18,0,,TS,31.3,-78.8,50,997
AL072004,GASTON,2004-08-29 00:00:00,2004,8,29,0,0,,TS,31.5,-79.1,55,994
AL072004,GASTON,2004-08-29 06:00:00,2004,8,29,6,0,,TS,32.1,-79.4,60,991
AL072004,GASTON,2004-08-29 12:00:00,2004,8,29,12,0,,HU,32.8,-79.5,65,986
AL072004,GASTON,2004-08-29 14:00:00,2004,8,29,14,0,L,HU,33.0,-79.6,65,985
AL072004,GASTON,2004-08-29 18:00:00,2004,8,29,18,0,,TS,33.5,-79.6,45,992
AL072004,GASTON,2004-08-30 00:00:00,2004,8,30,0,0,,TD,34.2,-79.4,30,995
AL072004,GASTON,2004-08-30 06:00:00,2004,8,30,6,0,,TD,34.9,-79.1,30,998
AL072004,GASTON,2004-08-30 12:00:00,2004,8,30,12,0,,TD,35.6,-78.7,25,1000
AL072004,GASTON,2004-08-30 18:00:00,2004,8,30,18,0,,TD,36.4,-77.8,30,1002
AL072004,GASTON,2004-08-31 00:00:00,2004,8,31,0,0,,TS,37.2,-76.6,35,1001
AL072004,GASTON,2004-08-31 06:00:00,2004,8,31,6,0,,TS,38.1,-74.8,35,1001
AL072004,GASTON,2004-08-31 12:00:00,2004,8,31,12,0,,TS,39.1,-72.9,35,1001
AL072004,GASTON,2004-08-31 18:00:00,2004,8,31,18,0,,TS,40.2,-70.5,35,999
AL072004,GASTON,2004-09-01 00:00:00,2004,9,1,0,0,,TS,41.0,-67.5,40,999
AL072004,GASTON,2004-09-01 06:00:00,2004,9,1,6,0,,TS,41.7,-63.5,45,999
AL072004,GASTON,2004-09-01 12:00:00,2004,9,1,12,0,,EX,43.0,-59.6,45,999
AL072004,GASTON,2004-09-01 18:00:00,2004,9,1,18,0,,EX,45.0,-55.0,45,998
AL072004,GASTON,2004-09-02 00:00:00,2004,9,2,0,0,,EX,47.0,-50.0,45,997
AL072004,GASTON,2004-09-02 06:00:00,2004,9,2,6,0,,EX,48.5,-44.0,45,996
AL072004,GASTON,2004-09-02 12:00:00,2004,9,2,12,0,,EX,50.0,-38.0,45,994
AL072004,GASTON,2004-09-02 18:00:00,2004,9,2,18,0,,EX,51.1,-32.0,40,994
AL072004,GASTON,2004-09-03 00:00:00,2004,9,3,0,0,,EX,52.0,-28.9,35,998
AL082004,HERMINE,2004-08-27 18:00:00,2004,8,27,18,0,,TD,29.0,-65.2,25,1016
AL082004,HERMINE,2004-08-28 00:00:00,2004,8,28,0,0,,TD,29.0,-65.7,25,1016
AL082004,HERMINE,2004-08-28 06:00:00,2004,8,28,6,0,,TD,29.1,-66.2,25,1016
AL082004,HERMINE,2004-08-28 12:00:00,2004,8,28,12,0,,TD,29.2,-66.6,30,1015
AL082004,HERMINE,2004-08-28 18:00:00,2004,8,28,18,0,,TD,29.7,-67.2,30,1015
AL082004,HERMINE,2004-08-29 00:00:00,2004,8,29,0,0,,TD,30.1,-68.4,30,1014
AL082004,HERMINE,2004-08-29 06:00:00,2004,8,29,6,0,,TD,30.5,-69.2,30,1014
